SMILES,Vina Score,Molecular Weight,verdict,failures
Cc1nc(N2CCCC2)cc(N2CCN(C(=O)c3cn4c5c(c(F)c(F)cc5c3=O)OC[C@H]4C)CC2)n1,-10.98,510.5450000000003,PASS,
C[C@H](NC(=O)c1cc(S(=O)(=O)N2CCCCC2)ccc1Cl)C(=O)N1CCN2CCc3c(F)cccc3[C@@H]2C1,-10.98,563.0950000000001,PASS,
Cc1ccccc1CN1C[C@H](C(=O)N2CCN(C(=O)[C@@H]3CC(=O)N(c4ccccc4F)C3)CC2)CC1=O,-10.97,506.5780000000004,PASS,
Cn1c(=O)oc2cc(S(=O)(=O)N3CCC[C@@H](C(=O)N4CCc5c(nc6cc(-c7ccccc7)[nH]n6c5=O)C4)C3)ccc21,-10.97,588.6460000000001,PASS,
Cc1nc(N2CCOCC2)cc(N2CCN(C(=O)c3cc(-c4ccccc4Br)on3)CC2)n1,-10.97,513.3960000000002,PASS,
CC(=O)N1CCN(c2cc(N3CC(=O)N4CC(C)(C)c5ccccc5[C@H]4C3)nc(Cc3ccccc3)n2)CC1,-10.97,524.6690000000002,PASS,
Cc1c(C(N)=O)cc(C(=O)CN2CCN(S(=O)(=O)c3cccc4cccnc34)CC2)n1Cc1ccccc1F,-10.96,549.6280000000003,PASS,
Cc1cccc(N2C[C@@H](C(=O)N3CCN(c4ncnc5c4nnn5-c4ccc(F)cc4)CC3)CC2=O)c1,-10.95,500.5380000000003,PASS,
Cc1ccc(N2C[C@@H](C(=O)N3CCN(c4ncnc5c4nnn5-c4cccc(F)c4)CC3)CC2=O)cc1C,-10.94,514.5650000000003,PASS,
O=C([C@H]1CC(=O)N(c2cccc(Cl)c2)C1)N1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3F)C2)CC1,-10.94,512.9690000000004,PASS,
CC[C@H](C(=O)N1CCN(c2nc(CN3CCN(c4ccccc4F)CC3)cc(=O)[nH]2)CC1)c1ccccc1,-10.94,518.6370000000003,PASS,
